column,n,mean_time
id,100000,0.005770206451416016
owner_id,100000,0.0470736026763916
creation_date,100000,0.10545578002929687
count,100000,0.04377865791320801
name,100000,0.12106904983520508
content,100000,1.1050135612487793
id,300000,1.4986310686383928e-06
owner_id,300000,0.16964759826660156
creation_date,300000,0.3462372779846191
count,300000,0.1439657211303711
name,300000,0.3670407772064209
content,300000,3.400286817550659
id,500000,1.6008104596819197e-06
owner_id,500000,0.2642504692077637
creation_date,500000,0.6296487331390381
count,500000,0.2717846393585205
name,500000,0.7065763950347901
content,500000,5.8313642024993895
id,20000,0.0009464536394391741
owner_id,20000,0.011556196212768554
creation_date,20000,0.023891115188598634
count,20000,0.01156148910522461
name,20000,0.029230690002441405
content,20000,0.22883892059326172
id,100,2.0776476178850445e-06
owner_id,100,2.193450927734375e-05
creation_date,100,8.215904235839844e-05
count,100,2.3317337036132812e-05
name,100,9.322166442871094e-05
content,100,0.0010436058044433593
id,200000,1.430511474609375e-06
owner_id,200000,0.10898423194885254
creation_date,200000,0.23556933403015137
count,200000,0.11566371917724609
name,200000,0.2512155532836914
content,200000,2.268191623687744
id,400000,1.873288835797991e-06
owner_id,400000,0.21696820259094238
creation_date,400000,0.4754892349243164
count,400000,0.1935953140258789
name,400000,0.5081057071685791
content,400000,4.575881290435791
id,1000,8.480889456612723e-06
owner_id,1000,0.00024080276489257812
creation_date,1000,0.001108837127685547
count,1000,0.00026268959045410155
name,1000,0.001164388656616211
content,1000,0.01578965187072754
id,10,9.87734113420759e-07
owner_id,10,2.765655517578125e-06
creation_date,10,1.3399124145507813e-05
count,10,5.245208740234375e-06
name,10,1.749992370605469e-05
content,10,0.00016379356384277344
id,10000,0.0003441401890345982
owner_id,10000,0.003775358200073242
creation_date,10000,0.010958003997802734
count,10000,0.004416275024414063
name,10000,0.01277608871459961
content,10000,0.11694650650024414
id,30000,0.00152414185660226
owner_id,30000,0.015152549743652344
creation_date,30000,0.03380451202392578
count,30000,0.015039300918579102
name,30000,0.04058027267456055
content,30000,0.3316699981689453
id,50000,0.003354242869785854
owner_id,50000,0.03157243728637695
creation_date,50000,0.06164078712463379
count,50000,0.029285764694213866
name,50000,0.06628870964050293
content,50000,0.5587380409240723
id,70000,0.004652500152587891
owner_id,70000,0.03904666900634766
creation_date,70000,0.08145556449890137
count,70000,0.03491196632385254
name,70000,0.08651137351989746
content,70000,0.7962223052978515
