method,n,mean_time
median-of-medians,10,5.924701690673828e-05
quickselect,10,2.759695053100586e-05
heapsort,10,2.187490463256836e-05
median-of-medians,100,0.00045502185821533203
quickselect,100,0.00022876262664794922
heapsort,100,0.0003304481506347656
median-of-medians,1000,0.00563204288482666
quickselect,1000,0.003675103187561035
heapsort,1000,0.005551934242248535
median-of-medians,10000,0.055462777614593506
quickselect,10000,0.02993476390838623
heapsort,10000,0.07278472185134888
median-of-medians,100000,1.1202362775802612
quickselect,100000,0.5800671577453613
heapsort,100000,1.059054672718048
median-of-medians,300000,2.4370917677879333
quickselect,300000,4.462849855422974
heapsort,300000,3.779953181743622
median-of-medians,500000,6.837537229061127
quickselect,500000,8.888686060905457
heapsort,500000,7.6120317578315735
